"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 477	('muscle'", 'sardines', 'atp', 'mitochondrial', 'oxygen', 'mitochondria', 'respiration', 'quantity', 'lilq'," 'items')	(0.04924515191601493",0.039553116,0.039525836, 0.038872990155982855, 0.022919676677167714, 0.020859177744202703, 0.020208055302447257, 0.020106233712869157,0.019384492, 0.01912748253496558)
"Topic 478	('micronutrients'", 'micronutrient', 'biomass', 'grassland', 'deposition', 'soil', 'nutrients', 'physicochemical', '32'," 'atmospheric')	(0.029254322415111677", 0.024634751089297347, 0.018189654793964876, 0.017978071278259487,0.017596683, 0.015371864533813655, 0.015228286025940922, 0.014638161774735495, 0.013194756830908878, 0.012304681263896621)
"Topic 479	('bataua'", 'nwa', 'swa', 'andean', 'oenocarpus', 'var', 'oligocarpus', 'amazonia', 'cho'," 'northwestern')	(0.06465889597549629", 0.029686806353665784,0.029345174, 0.027238885523334557, 0.025282152268530315,0.02208446, 0.021640206833419988,0.020035404, 0.019738470256009458, 0.01806796369975378)
"Topic 480	('limpet'", 'barren', 'limpets', 'barrens', 'nutrient', 'urchin', 'urchins', 'grazing', 'sea'," 'macroalgal')	(0.06442108454653286", 0.037362994378693865, 0.035084681817324354,0.026837224, 0.026242733626337403, 0.022240910071133293,0.020945145,0.017360522, 0.016534637253816882, 0.013242284804626876)
"Topic 481	('porpoises'", 'iberian', 'phocoena', 'fontaine', 'porpoise', 'harbor', 'mtdna', 'ibma', 'pierce'," 'harbour')	(0.048701913722578205",0.03681491, 0.030751512732171086, 0.029698933765898092,0.023893196, 0.015563965235961036,0.014179563, 0.013333298233048815,0.013288141, 0.012511213629741285)
"Topic 482	('climate'", 'change', 'homogenization', 'bellard', 'biol', 'devictor', 'conserv', 'bakkenes', 'butteries'," 'cons')	(0.012354461381428553",0.012285995,0.00978823,0.00933869,0.008580051,0.008106414,0.008086223,0.007968641,0.007810038, 0.007801514527319643)
"Topic 483	('torpor'", 'tsk', 'kappeler', 'lemurs', 'supplemented', 'daily', 'food', 'min', 'mouse'," 'ta')	(0.07315997237796741", 0.023619937511094962,0.021643589, 0.020971096450667897, 0.020221098253026464, 0.018359767049736117,0.01796382,0.017936907,0.016900623, 0.016406658284427715)
"Topic 484	('nestlings'", 'nestling', 'seasurface', 'air', 'alpha', 'beta', 'prelaying', 'growth', 'kittiwakes'," 'file')	(0.07071987011943419",0.053510873,0.050690293,0.041764134, 0.035684478940719064,0.031056823, 0.028392660468640904,0.028373908, 0.025905341215637548, 0.025450746181161464)
"Topic 485	('sms'", 'lcp', 'connectivity', 'perceptual', 'circuitscape', 'estimates', 'landscape', 'movement', 'circuitbased'," 'directional')	(0.052324652388429406",0.028031064, 0.026371398836505258, 0.023352906284828497,0.020457212,0.013480501, 0.013083140983730677, 0.012744538454286563, 0.012675207653948042, 0.012672743518937579)
"Topic 486	('lava'", 'flows', 'fleshyfruited', 'frugivores', 'lff', 'doiorg1011111365274513359', '1800', 'sff', 'chronosequence'," '1665')	(0.058237975338667154", 0.041335352677554754, 0.031810707275216434, 0.027187718753469862, 0.026298788243560748,0.022030779, 0.021888587711602285,0.02058166, 0.020327949656598596, 0.019754040303881674)
"Topic 487	('perch'", 'annecy', 'yoy', 'lake', 'lakes', 'bourget', 'geneva', 'nodulosus', 'perca'," 'triaenophorus')	(0.05309770428629006",0.049359455,0.044007466, 0.036690028365033676,0.036346782,0.031810223,0.029009786, 0.025810812148501505, 0.018724400149833946, 0.01599369683357311)
"Topic 488	('gallinae'", 'mites', 'mite', 'farms', 'manure', 'poultry', 'freerange', 'casalis', 'cheyletus'," 'predation')	(0.06499813331680798",0.028954869, 0.027297997989160435,0.026754295, 0.025229181632068207,0.022500107,0.022190448, 0.020798396486780196, 0.020227058979451883, 0.01786085487447376)
"Topic 489	('leks'", 'kin', 'booms', 'males', 'acoustic', 'inbreeding', 'houbara', 'lekking', 'hglund'," 'cornec')	(0.029711881020505367",0.02957108,0.029116807, 0.028625276710144806,0.02181141,0.019869029,0.019087696, 0.018809087048591605, 0.018646749155428917, 0.01731483850146971)
"Topic 490	('variants'", 'genes', 'gene', 'frequency', 'novo', 'expanding', 'allele', 'coding', 'flow'," 'populations')	(0.029535807851087326", 0.019056411930236442,0.018589724,0.017381355, 0.017279359883032194,0.017025697, 0.016791481203062026,0.014464926, 0.014317279532086637, 0.01252330498572046)
"Topic 491	('parasitoid'", 'aphid', 'eres', 'pleinefoug', 'ervi', '042008', '201', 'thouarault', 'chapelle'," 'padus')	(0.02690177449151463", 0.025848778991309464,0.020900428,0.020900428, 0.020083420579942935, 0.019688982660108073, 0.018811925033432823,0.018740697, 0.018484375623076598, 0.01793024456347066)
"Topic 492	('fg'", 'fertility', 'quebec', 'sieved', 'rgr', 'soil', 'shipley', 'cwm', 'daou'," 'sla')	(0.05189000677834505",0.035960348, 0.023414506664270345, 0.019981459545672684, 0.018269160442810857,0.017954103, 0.014678980799580398, 0.014291656315285993, 0.013472147956124156, 0.012241491026870947)
"Topic 493	('synchrony'", 'metapopulation', 'uctuations', 'subpopulation', 'metapopulations', 'subpopulations', 'dispersal', 'synchronous', 'parasite'," 'duncan')	(0.04502665627564359",0.040478575,0.037594973, 0.031542140073762596,0.029459684, 0.025805471038079408,0.021764427, 0.019255600204565394, 0.018002947844747437, 0.016792106561723426)
"Topic 494	('nutritional'", 'gannets', 'prey', 'ssta', 'machovskycapuska', 'foraging', 'diets', 'nutriscapes', 'seac'," 'lm')	(0.03791050376559137",0.036742553, 0.022042428503517623,0.018815456, 0.016185555739490178,0.015857737,0.015233305,0.015096254, 0.014053195760461068, 0.013733471198098505)
"Topic 495	('oysters'", 'algae', 'acclimated', 'oyster', 'oshv1', 'degs', 'viral', 'bacterial', 'seaweed'," 'microbiota')	(0.07315916942569609", 0.036623657136142504,0.024618009,0.023815642,0.023653947, 0.018257172910062715, 0.018074802050894533, 0.017643888789639368, 0.017021782691597334, 0.016503878897519406)
"Topic 496	('litter'", 'detritivore', 'alder', 'consumptive', 'nemoura', 'sericostoma', 'enclosures', 'gammarus', 'predation'," 'mixing')	(0.04056384553140128",0.039646187, 0.024322007827079557, 0.024187417276313954, 0.018410323846720745,0.018093303, 0.017072231141891006, 0.016937616091353015, 0.016026137883545778, 0.015568564439897773)
"Topic 497	('connectivity'", 'dissimilarity', 'dispersal', 'distance', 'path', 'preprint', 'metacommunity', 'logue', 'environmental'," 'sor')	(0.018149077595440485",0.011643562, 0.011166777088080192,0.009915037,0.009065213,0.00879023,0.008665414,0.008473139,0.008407057, 0.008059720580061129)
"Topic 498	('heat'", 'stress', 'biofilms', 'microalgal', 'dose', 'endsummer', 'thermal', 'photosynthetic', 'biofilm'," 'tolerance')	(0.04628128133726028",0.034635839, 0.028610513726362946, 0.027825394748784357, 0.022472683424695675,0.022417274, 0.021865464549253213, 0.021531111297182593, 0.021337435571624878, 0.020058667182683416)
"Topic 499	('ecb'", 'bt', 'maize', 'corn', 'adults', 'release', 'elds', 'recaptured', 'night'," 'andow')	(0.03086443833560554",0.027609868, 0.027186422821924624, 0.024544255821287164, 0.023639859196597127, 0.022482904068566033,0.019056589, 0.016311853693154778, 0.016112218953113086, 0.015783529492809593)
"Topic 500	('lit'", 'lwc', 'litter', 'litters', 'water', 'mixture', 'caerulea', 'content', 'gogo'," 'rubellum')	(0.05859363260488551",0.043795149,0.037508249,0.032611179,0.032028068, 0.030626668130259514,0.0276155,0.026008806, 0.025645916807409474, 0.024998610183386203)
"Topic 501	('metabolic'", 'adjustment', 'coecient', 'carrying', 'persistence', 'capacity', 'rate', 'bifurcation', 'producer'," 'biomass')	(0.08842417606034766",0.065520583,0.034864032,0.03468173,0.02791356, 0.023577223706432678, 0.022886229994082973, 0.021872502230974877, 0.021139978041756553, 0.020771723162546992)
"Topic 502	('infestans'", 'phytophthora', 'isolates', 'lsmeans', 'wald', 'sporangia', 'adaptation', 'potato', 'andrivon'," 'mariette')	(0.06302732552943753",0.055697227,0.050115436, 0.024298673504658815,0.023005658, 0.020217362564143634, 0.019950855669353902,0.019122605,0.017159358, 0.01646184538084194)
"Topic 503	('beaugrand'", 'plankton', 'assemblage', 'taxonomic', 'zooplankton', 'assemblages', 'phytoplankton', 'atlantic', 'speciestaxa'," 'north')	(0.01941247919720441", 0.019156804135826683, 0.018694027608649393,0.017544034,0.016620213,0.016378073, 0.014547599025711106, 0.011619568217117406, 0.011260234274909329, 0.011028300272123216)
"Topic 504	('intercropping'", 'nonfertilized', 'intercropped', 'cereals', 'intercrops', 'allometric', 'gplant1', 'intercrop', 'yield'," 'legumes')	(0.03893007102954545", 0.028636834995099433, 0.028277865202526998, 0.028039878736536586, 0.023732488612484084, 0.023537654406878283, 0.023529821585667465,0.022936902, 0.022279190680273345, 0.02173607657997203)
"Topic 505	('energy'", 'waterenergy', 'richness', 'currie', 'maps', 'variables', 'gradients', 'pet', 'productivity'," 'water')	(0.031552544760801854",0.027378581,0.022620872, 0.011683291662161324,0.011653795, 0.011258452046852397, 0.011207357229113469, 0.010675742951794935,0.009616811, 0.009485476328988746)
"Topic 506	('enemy'", 'enemies', 'herbivore', 'natural', 'indirect', 'plant', 'herbivores', 'tritrophic', 'nonadditive'," 'interactions')	(0.02719980411866035", 0.024056977710856436, 0.022765767650616706,0.017357942, 0.013481839912622305, 0.013465334708381778, 0.012622880825761268, 0.012429825843501838,0.011627668, 0.01112170654472372)
"Topic 507	('gam'", 'counts', 'missing', 'buttery', 'interpolation', 'ight', 'bmss', 'univoltine', 'weekly'," 'indices')	(0.03388622687285228", 0.030669682225973518, 0.025078614761047027, 0.021802334843847394,0.021668994,0.018610393, 0.018429241503338776,0.016807265, 0.016381709536327234, 0.015689438868664092)
"Topic 508	('nests'", 'protection', 'unprotected', 'nest', 'fence', 'pluriannual', 'harrier', 'montagu', 'uses'," 'land')	(0.03569196978866849", 0.028977757790063986, 0.025166358389203905,0.024853879, 0.023339463196781735, 0.019485215069914005,0.018034713,0.015774552, 0.015711506973468806, 0.015183379765899669)
"Topic 509	('biotype'", 'aphid', 'predator', 'alfalfa', 'lineage', 'clover', 'doiorg101101722140', 'lineages', 'ccbync'," 'biotypes')	(0.04989663939264455", 0.048636189112034725, 0.022157224570030692,0.021661012,0.020150383, 0.020101082558360576,0.018498872, 0.017865216679762343, 0.017190955408381253, 0.01670072178919874)
"Topic 510	('clove'", 'farmers', 'tsabo', 'micro', 'organisation', 'knowledge', 'agrobiodiversity', 'zones', 'practices'," 'jackfruit')	(0.05571009989239983", 0.050302669317844904,0.03909025,0.023127586, 0.014550385252719912, 0.014477217346700889, 0.014127375148818915, 0.012849648077969381,0.011680297, 0.010987303117115765)
"Topic 511	('trophic'", 'sizestructured', 'specieslevel', 'networks', 'level', 'vertical', 'temperature', 'nodes', 'edeline'," 'fish')	(0.05307242038274319",0.036096871,0.030252963,0.023558615,0.020140009, 0.018102394981324543, 0.017552276943405727, 0.013906163826731361,0.009468187, 0.009421849321917202)
"Topic 512	('fijiensis'", 'africa', 'historical', 'gilabert', 'blomme', 'pseudocercospora', 'gabon', 'carlier', 'blsd'," 'invasion')	(0.031145914274816854", 0.019801797560953075, 0.019066479220144407, 0.018782722689492663,0.018344913,0.016053402, 0.014758824853621011, 0.013500596078651377,0.012185041, 0.012050549066863325)
"Topic 513	('sdg'", 'sdgs', 'experts', 'services', 'targets', 'ecosystem', 'expert', 'impacts', 'papers'," 'certainty')	(0.047074937479769", 0.045409951681267234,0.04364441, 0.030736588345185754, 0.024901306645693316,0.020750263, 0.020030912360221986, 0.018535268996468457, 0.017152586667977112, 0.015453041662785499)
"Topic 514	('vibrio'", 'symbiodinium', 'clade', 'cytherea', 'clades', 'coral', 'colonies', 'disease', 'spp'," 'rouze')	(0.05330927788632239", 0.050152856662343634,0.038871537, 0.034036869322177976,0.026562005, 0.025932925548332007, 0.021328653926915936, 0.021104848992029246, 0.020709490868533163, 0.019946661955839558)
"Topic 515	('settlement'", 'robusta', 'intestinalis', 'ciona', 'marinas', 'chteau', 'moulin', 'juveniles', 'bouchemousse'," 'marina')	(0.05985994548494292",0.056062366, 0.043073019855896094,0.042784428, 0.034490020879949866,0.027897931,0.023746073, 0.023487660611254107, 0.023361358151239898, 0.020706887822392696)
"Topic 516	('okamura'", 'mucedo', 'statoblasts', 'sultana', 'freshwater', 'lotic', 'freeland', 'bryozoan', 'flow'," 'cristatella')	(0.029682940885176458",0.022198491, 0.021026280389851864, 0.015479771021423843, 0.013967171488327618,0.013604681, 0.013003729381303791,0.012600585, 0.012165398229821855, 0.011725680601631431)
"Topic 517	('silk'", 'gland', 'larvae', 'glanville', 'samples', 'fritillary', 'nests', 'antimicrobial', 'proteins'," 'larval')	(0.10944095632123398", 0.023266735747857377, 0.022853218384303202, 0.018490500806693184, 0.018134451215658872,0.017511531,0.016025102, 0.015472271082567381, 0.014155510024115537, 0.013510751201557867)
"Topic 518	('eels'", 'rnadna', 'glass', 'eel', 'anguilla', 'rostrata', 'ratios', 'chcharo', 'tzeng'," 'american')	(0.0659768232083213", 0.055618107653432614, 0.054696449511851084,0.050169202,0.035155609, 0.016784776237092625,0.016495176, 0.016017709347732518, 0.013348091123110433, 0.012440129913809337)
"Topic 519	('meloidogyne'", 'rootknot', 'graminicola', 'genome', 'nematode', 'danchin', 'rice', 'nematodes', 'rkns'," 'phan')	(0.05262668136932775",0.043054488,0.042691191, 0.038598105757785765, 0.035349303267801994, 0.024789109818498994, 0.020837320359164975, 0.018512464978520996,0.01600143, 0.014223492939466693)
"Topic 520	('outbred'", 'inbred', 'crosses', 'generations', 'mated', 'founded', 'sibmating', 'creation', 'lines'," 'laboratory')	(0.04054613983479685",0.033289639, 0.025625492493415183, 0.024492345285383157,0.019299687, 0.017123786024471923, 0.016838292011836682,0.016669411, 0.016429036509800075, 0.013363332656428742)
"Topic 521	('rsc'", 'rsi', 'swallows', 'doligez', 'lagrange', 'dispersal', 'breeding', 'danchin', 'site'," 'bad')	(0.07078545972647185",0.063338839, 0.026782124950159008,0.017837566, 0.016302000612959236, 0.016198111502805635, 0.014975525272261932, 0.011873366009277814, 0.010628377938235139, 0.010557548781990306)
"Topic 522	('mimicry'", 'butterflies', 'mallet', 'warning', 'joron', 'heliconius', 'sherratt', 'ruxton', 'mllerian'," 'mimetic')	(0.05462945267780464", 0.030665238923126167, 0.020802355292003496,0.017090752, 0.016580660558447962, 0.016367493005167637, 0.014492364624343208, 0.013627722031576223, 0.013225136499805378, 0.013093994404134113)
"Topic 523	('mainland'", 'island', 'hybrid', 'variance', 'f1', 'height', 'torrey', 'garden', 'vwi'," 'vp')	(0.07220937944994928", 0.038006744101625134, 0.026184280253228498, 0.023227277238674907,0.020866371,0.019811193, 0.018292352007452568,0.016120771, 0.012016533808441357, 0.011492291075017801)
"Topic 524	('secondary'", 'ant', 'gilroy', 'primary', 'pasture', 'montane', 'ants', 'edwards', 'pastures'," 'forests')	(0.031412719592685046", 0.026303096822345093,0.022881115, 0.019189548568720877, 0.016740180369800604, 0.016429081124651492, 0.016234859605682307, 0.016066133131859547, 0.015772943561714808, 0.014706768584006482)
"Topic 525	('maom'", 'pomc', 'priming', 'litters', 'soc', 'formation', 'maomc', 'mineralassociated', 'stabilisation'," 'leachates')	(0.03595189077247037",0.032807115,0.032627035, 0.029047635162719097,0.027245881, 0.026878835122127555, 0.024586314031678727,0.024164708, 0.023319399048631662, 0.01965398812996095)
"Topic 526	('kelp'", 'echinus', 'urchin', 'norway', 'hyperborea', 'epiphytes', 'stipe', 'understorey', 'diet'," 'items')	(0.04047634337412227",0.033637708, 0.023201289222151377, 0.021100643134045062, 0.017777228953044125, 0.017239717973758024, 0.016494271576237444,0.016355966, 0.014660850577695651, 0.013889330093189796)
"Topic 527	('lions'", 'social', 'pride', 'packer', 'subgroups', 'prides', 'prey', 'lion', 'farine'," 'herds')	(0.043012552311576975", 0.027449356833484262,0.023543114, 0.022365514133706427,0.021098182, 0.017385244233241712, 0.016313193855954537, 0.014973132688860025,0.014125243, 0.012539507528651222)
"Topic 528	('pom'", 'solea', 'sh', 'laterna', 'polychaetes', 'linguatula', 'luteum', 'river', 'lascaris'," 'darnaude')	(0.04382719831035427",0.038482418,0.037849273,0.032106207,0.03167799, 0.031025364367032262, 0.029958891331137785,0.025019312, 0.024492397940337824, 0.022073290897250606)
"Topic 529	('badger'", 'meles', 'badgers', 'sars', 'abundance', 'sar', 'mountainous', 'nonmountainous', 'calenge'," 'relative')	(0.08212241392072078",0.043799261,0.042334331,0.03854132, 0.024543255726136325, 0.017292846839545534, 0.014044872359136465, 0.013872357972658967, 0.012736289610346079, 0.011882518514099067)
"Topic 530	('spacetime'", 'deviation', 'bird', 'window', 'temporal', 'trend', 'forcings', 'population', 'deviations'," 'relative')	(0.049920983415347224",0.034864375, 0.017805336816605854,0.015930804, 0.014959734517760974, 0.012898610265748454, 0.011611901248564038,0.010099146,0.009568686, 0.009218958312870678)
"Topic 531	('schimitscheki'", 'diyabc', 'wind', 'ventoux', 'longdistance', 'shortdistance', 'mont', 'dispersal', 'colonization'," 'scenario')	(0.03315941296516017",0.031450339, 0.029604645808211955,0.027235761,0.023910944, 0.023887447347223676,0.019838706, 0.019569811200409022, 0.018981879684653605, 0.017065367553864497)
"Topic 532	('bombus'", 'nonparasitic', 'bumblebee', '101007s00442021049703', 'highelevation', 'alpinesubalpine', 'parasitic', 'fourcade', 'homogenisation'," 'lowland')	(0.042445668282901555", 0.025137453711962715,0.023591296, 0.014248735169614599, 0.013086882620737744, 0.012106566821193905, 0.011894330998729876, 0.010345380305214745,0.010063676, 0.010000693005641432)
"Topic 533	('phototrophic'", 'microbes', 'microbial', 'peatlands', 'fixation', 'photosynthetic', 'counozouls', 'peatland', 'sphagnum'," 'abisko')	(0.09871570812090438",0.038610016,0.030673114, 0.026765465234568853,0.022194907, 0.020677188269037878, 0.017424333810505396,0.01613676, 0.015869704563727733, 0.015677239871448555)
"Topic 534	('ash'", 'dieback', 'rachides', 'fraxineus', 'settings', 'infected', 'disease', 'ashes', 'rachis'," 'apothecia')	(0.06014918964989455", 0.052827426085793154,0.033170161,0.032850039, 0.021560475599746713, 0.020633409374297845, 0.020231314957919976, 0.018639567050453984, 0.018497932643420832, 0.017914374795093255)
"Topic 535	('gls'", 'chick', 'video', 'trips', 'bouts', 'rearing', 'incubation', 'grissot', 'logged'," 'nest')	(0.05004505444126199", 0.024956793790094724, 0.023090099051697018, 0.022131055888711337,0.01683644, 0.016255369265415643, 0.015442027221587638,0.014436463, 0.013403748342207235, 0.012620727845128044)
"Topic 536	('kill'", 'dpas', 'visibility', 'lions', 'elephants', 'lion', 'ambush', 'elephant', 'sites'," 'hunt')	(0.056234796282341265",0.03725955, 0.034483250487790454,0.029131545,0.027723443, 0.025742550353861766, 0.023304643717672466, 0.021582109811639247, 0.013447860999100923, 0.013048483996572574)
"Topic 537	('kin'", 'nonkin', 'neighbors', 'growth', 'plants', 'sizeasymmetric', 'competition', 'competitive', 'neighbor'," 'ehlers')	(0.050200037140120064",0.034256117,0.025727173, 0.021991865459537633, 0.017191525937775724, 0.015242596895977803, 0.013426886705175547, 0.012280444934914238, 0.012083569893799929, 0.011815715857731708)
"Topic 538	('decomposability'", 'leaf', 'litter', 'eb', 'bm', 'halflife', 'traits', 'lt', 'ou'," 'sla')	(0.07727132712448168",0.043805395,0.023155608, 0.020829574702766755,0.018508605, 0.015479844814075487, 0.014674312841630476, 0.013566409926202078, 0.013196304332700417, 0.013063380555557088)
"Topic 539	('radseq'", 'silix', 'rad', 'uclust', 'restriction', 'loci', 'orthologous', 'sequencing', 'reads'," 'coverage')	(0.03296358562570171", 0.030180049864876886,0.024456884,0.02072041,0.019961679, 0.018966619307982588, 0.018665050109469065,0.015832762, 0.014298875321683056, 0.01405043535393304)
"Topic 540	('pac'", 'fdr', '000', 'aus1', 'dest', 'indian', 'fst', 'clusters', 'reunion'," 'correction')	(0.023051651049026328",0.019023257,0.018974513,0.014466361, 0.013862531782560517,0.013600342, 0.013200633895929952, 0.012404521012787797, 0.012266143288373492, 0.012066769570637976)
"Topic 541	('feathers'", 'feather', 'fungi', 'microorganisms', 'prey', 'plumage', 'increments', 'goshawk', 'nonprey'," 'nonpathogenic')	(0.05945010365170525",0.043032161,0.024259234,0.019232015,0.018345464, 0.018097819397735252, 0.016159915228276294,0.016107076, 0.015340274234333031, 0.013934999328585796)
"Topic 542	('saturniid'", 'bci', 'saturniids', 'saturniidae', 'forestgeo', 'automeris', 'basset', 'trim', 'uncertain'," 'cluster')	(0.041559828154101086", 0.031452104825953814,0.021185776, 0.018449612912000174, 0.016571032505856103, 0.012371462900530029,0.012096104,0.011647224, 0.011617712245318584, 0.01058168688869834)
"Topic 543	('cp'", 'pdf', 'rsf', 'unconditional', 'neutral', 'conical', 'uniform', 'forager', 'selection'," 'conditional')	(0.04695604495619068",0.044472653,0.031713605,0.0290542,0.021254166,0.019581246,0.017911391, 0.017888756562455158, 0.016890194121229905, 0.014640884865243073)
"Topic 544	('preprint'", 'biorxiv', 'perpetuity', 'edge', 'granted', 'posted', 'authorfunder', 'holder', 'gc'," 'license')	(0.054656824755669395",0.043893319, 0.028345781721338267,0.027764932,0.027293861,0.027107111,0.026727319, 0.026389192798246915,0.022857993, 0.02201774836154451)
"Topic 545	('metabolic'", 'repeatability', 'mte', 'activation', 'thermal', 'utd', 'icc', 'interindividual', 'ev'," 'diferences')	(0.03958506884344819", 0.025997610285555382,0.024965257, 0.022690152698905775, 0.020979669686853334,0.018675297, 0.018443156585018505, 0.017232908040341825, 0.014584779080467713, 0.013904167336329855)
"Topic 546	('mpas'", 'fished', 'protection', 'tmean', 'fishing', 'biomass', 'mpa', 'affinity', 'fish'," 'mediterranean')	(0.039393098012428726", 0.025293800823561672, 0.024816984589779857,0.021562477, 0.021113307146422414, 0.015945737568492553, 0.014208964348023006, 0.013855399024178329, 0.013813171310148935, 0.011291764157401962)
"Topic 547	('precipitation'", 'automeris', 'hylesia', 'monthly', 'chelsa', 'terraclimate', 'climate', 'temperature', 'plots'," 'survey')	(0.01641885428012185", 0.015102237028573851, 0.011332449926723569, 0.010000906859655451,0.009755143,0.008739895,0.007535123,0.007405997,0.007309276, 0.007245711419404629)
"Topic 548	('fauna'", 'phylogenetic', 'diversity', 'springtails', 'soil', 'trait', 'phylogenetically', 'plant', 'nematodes'," 'uniformity')	(0.03239107736625433",0.022685512, 0.019947936713738165,0.016945512, 0.013746444424197595, 0.013547705251460564, 0.013541805219813461, 0.011197236445715963, 0.011117126693856266, 0.01065101372025588)
"Topic 549	('23c'", 'quiberon', 'heat', 'spitsbergen', 'helgoland', 'disks', 'quantum', 'fvfm', 'deepoxidation'," 'bonferroni')	(0.03594527581003916",0.031478271, 0.028322330270740742, 0.028058397711846123, 0.026627613757783032, 0.025691731307372633, 0.021786186768890266,0.021752116, 0.021219188024770172, 0.02060741277256257)
"Topic 550	('nested'", 'spatially', 'webs', 'overlap', 'productivity', 'resource', 'food', 'spatial', 'relationships'," 'plant')	(0.03907220959326127",0.033315246,0.031831862,0.028602111, 0.026944365569183143, 0.024074756087289196, 0.022713821789375702, 0.019265024662808623, 0.017602277979729488, 0.014882983454173071)
"Topic 551	('storage'", 'stored', 'extraction', 'lysis', 'dna', 'yield', 'copy', 'medium', 'duration'," 'mediums')	(0.06888234396386661", 0.034441171981933305, 0.030781391246522353,0.028305219,0.027126055, 0.025668133752588022, 0.024831083209846817,0.023595827, 0.021036072297406342, 0.01992919543450461)
"Topic 552	('pft'", 'ldd', 'corridors', 'pixels', 'dispersal', 'pixel', 'pfts', 'kmyear', 'possibility'," 'pa')	(0.03333973695877428", 0.026014775134406597,0.023885844, 0.021186723859473323, 0.020602348642145357, 0.020038749525647635, 0.017026974970722506,0.014251308, 0.013475267871861481, 0.01309730864160718)
"Topic 553	('capercaillie'", 'bias', 'correction', 'virtual', 'sampling', 'subjective', 'sex', 'glad', 'background'," 'biased')	(0.02580471733753087", 0.024168695812661928,0.022225063,0.020596135, 0.019199916868919364, 0.018971416189955834, 0.018619653652725818, 0.014892883736617825, 0.013724577696409848, 0.013461722795391639)
"Topic 554	('bodies'", 'fruit', 'dune', 'genets', 'cylindrosporum', 'patches', 'gcd', 'gryta', 'genet'," 'p00001')	(0.05548974451655854",0.049787759, 0.043593557732436714, 0.034568023264003225, 0.025774498746009282,0.02575209,0.020609386, 0.019143409542831915, 0.018888936735909627, 0.01822742461538252)
"Topic 555	('colonies'", 'ssh09a', 'sshs', 'ssh09c', 'clusters', 'ssh', 'assigned', 'nl', 'ssh09b'," 'assignment')	(0.0428309468274567", 0.042265524833382855, 0.031607243223725066,0.026217449,0.025758469,0.024299395,0.017683203, 0.017119724690411158, 0.016564919946888322, 0.015206742527142929)
"Topic 556	('hunting'", 'recovered', 'banding', 'teal', 'condition', 'recovery', 'nonrecovered', 'selectivity', 'hunters'," 'banded')	(0.03271644663364402", 0.030595175526240102,0.027375441, 0.014457196135975757, 0.014315651575196053, 0.013947889590636675, 0.013621617580551219, 0.012778828664724616, 0.011829412034577868, 0.011599524274337903)
"Topic 557	('hyaenas'", 'lions', 'carcass', 'encounter', 'encounters', 'hyaena', 'fixes', 'gps', 'carcasses'," 'lion')	(0.07277763009893459",0.061721604, 0.057998369551144915,0.0373532,0.035895055,0.027556372,0.022860846, 0.018140738901024547, 0.017964470816672996, 0.017810725883313207)
"Topic 558	('urbanised'", 'urbanisation', 'edg', 'exploiters', 'phylogenetic', 'environments', 'loss', 'pd', 'distinctive'," 'urban')	(0.05057202245161758",0.035250745, 0.031420828735836556, 0.025956336781778024, 0.020799764373413493, 0.019932254090374253, 0.015926047965144737, 0.015140992982850555, 0.014878402440550094, 0.014424901396382937)
"Topic 559	('month'", 'f111', 'ch2', 'chambers', 'temperature', 'pst', 'palazzu', 'necrosis', 'mean'," 'signicantly')	(0.011959885135640839",0.010063824,0.009996105,0.009521376,0.009239468,0.008523482,0.007658107,0.007625855,0.007489683, 0.007450457082014862)
"Topic 560	('delivery'", 'woodlands', 'multiservice', 'services', 'multidiversity', 'patches', 'service', 'potential', 'ecosystem'," 'ancient')	(0.04218285858953034",0.03438899,0.032551173, 0.027726597469232565, 0.024111979998913218, 0.018127684137080734, 0.017830892852670158, 0.017825588187997673, 0.016611935417508914, 0.015893789829772458)
"Topic 561	('rhabdomys'", '00', 'dilectus', 'pumilio', 'rambau', 'africa', 'records', 'contact', 'grid'," 'museum')	(0.04121783405372992", 0.021354343186370753,0.020144005, 0.015378763217638381, 0.013394322105839572,0.012508794, 0.011757233019541225, 0.011446893916486895, 0.010605515886669498, 0.009356325976567548)
"Topic 562	('translocations'", 'source', 'climatic', 'host', 'sites', 'distances', 'compass', 'translocation', 'palearctic'," 'translocated')	(0.042304239596981194",0.032461586, 0.026501884127466527, 0.024422429825865614, 0.023876440099235372, 0.020144140748094876,0.02007544, 0.019428980709423258, 0.013661854897055997, 0.012999236390113635)
"Topic 563	('deer'", 'browsing', 'litter', 'decomposition', 'decomposer', 'litterbags', 'island', 'loss', 'islands'," 'article')	(0.061732968635771955", 0.039068982302903975,0.034359171, 0.023441916800953685, 0.015822367867840924, 0.014158961126246388, 0.013931663341231804, 0.013747228734646991, 0.012494974691742499, 0.011517244131779517)
"Topic 564	('pdar'", 'pd', 'sar', 'pmc', 'funders', 'manuscripts', 'null', 'mazel', 'author'," 'sr')	(0.06798605688981678", 0.046821304823789836,0.045991754, 0.035963002958416194, 0.026164268793153166, 0.026061667138527554,0.024730392, 0.021690201632316285,0.021262378, 0.019676609983775184)
